5	4	2154	59	35	229421	0	0
0	0	0	0	30	0	0	0
4	4	2232	65	34	238481	0	0
1	0	0	1	31	1	0	0
9	4	2168	100	39	231107	0	0
2	0	0	2	32	2	0	0
1	4	2109	2	31	224149	0	0
3	0	0	3	33	3	0	0
1	4	2124	27	31	225980	0	0
4	0	0	4	34	4	0	0
3	4	2303	116	33	246832	0	0
5	0	0	5	35	5	0	0
3	4	2276	58	33	243571	0	0
6	0	0	6	36	6	0	0
1	4	2276	13	31	243526	0	0
7	0	0	7	37	7	0	0
2	4	2152	15	32	229191	0	0
8	0	0	8	38	8	0	0
6	4	2284	120	36	244570	0	0
9	0	0	9	39	9	0	0
4	4	2127	49	34	226342	0	0
0	0	0	10	30	10	0	0
9	4	2243	60	39	239769	0	0
1	0	0	11	31	11	0	0
1	4	2114	70	31	224848	0	0
2	0	0	12	32	12	0	0
4	4	2204	19	34	235179	0	0
3	0	0	13	33	13	0	0
2	4	2176	59	32	231943	0	0
7	0	0	14	37	14	0	0
3	4	2211	39	33	235996	0	0
8	0	0	15	38	15	0	0
6	4	2285	66	36	244641	0	0
9	0	0	16	39	16	0	0
0	4	2316	87	30	248321	0	0
5	0	0	17	35	17	0	0
6	4	2187	60	36	233259	0	0
0	0	0	18	30	18	0	0
7	4	2324	111	37	249299	0	0
6	0	0	19	36	19	0	0
1	4	2278	77	31	243830	0	0
8	0	0	20	38	20	0	0
7	4	2221	101	37	237247	0	0
9	0	0	21	39	21	0	0
3	4	2322	31	33	248965	0	0
9	0	0	22	39	22	0	0
8	4	2182	65	38	232641	0	0
5	0	0	23	35	23	0	0
9	4	2114	49	39	224827	0	0
3	0	0	24	33	24	0	0
3	4	2245	25	33	239963	0	0
0	0	0	25	30	25	0	0
7	4	2158	65	37	229904	0	0
4	0	0	26	34	26	0	0
9	4	2322	69	39	249003	0	0
8	0	0	27	38	27	0	0
0	4	2183	70	30	232764	0	0
9	0	0	28	39	28	0	0
4	4	2119	34	34	225402	0	0
1	0	0	29	31	29	0	0
4	4	2203	58	34	235100	0	0
4	0	0	30	34	30	0	0
6	4	2334	45	36	250363	0	0
0	0	0	31	30	31	0	0
4	4	2287	63	34	244868	0	0
5	0	0	32	35	32	0	0
6	4	2168	50	36	231057	0	0
1	0	0	33	31	33	0	0
0	4	2309	15	30	247447	0	0
0	0	0	34	30	34	0	0
1	4	2283	13	31	244342	0	0
7	0	0	35	37	35	0	0
1	4	2339	8	31	250920	0	0
6	0	0	36	36	36	0	0
3	4	2226	46	33	237764	0	0
0	0	0	37	30	37	0	0
2	4	2312	9	32	247766	0	0
1	0	0	38	31	38	0	0
1	4	2269	95	31	242793	0	0
7	0	0	39	37	39	0	0
9	4	2304	9	39	246855	0	0
0	0	0	40	30	40	0	0
2	4	2171	19	32	231330	0	0
6	0	0	41	36	41	0	0
7	4	2147	58	37	228653	0	0
8	0	0	42	38	42	0	0
3	4	2145	34	33	228415	0	0
9	0	0	43	39	43	0	0
0	4	2109	68	30	224215	0	0
4	0	0	44	34	44	0	0
6	4	2134	17	36	227146	0	0
